Location,Price,Rooms,Bathrooms,Car Parks,Furnishing,SizeType,SizeValue,Property Type Supergroup
Bukit Kiara,4988888.0,2.0,6.0,3.0,Partly Furnished,Land area,0.0,Terrace/Link House
KLCC,1999000.0,3.0,2.0,1.0,Unfurnished,Built-up,1271.0,Serviced Residence
Mont Kiara,1820000.0,2.0,4.0,2.0,Partly Furnished,Built-up,1830.0,Condominium
Ampang Hilir,3700000.0,2.0,5.0,2.0,Unfurnished,Built-up,3628.0,Condominium
Mont Kiara,1420000.0,2.0,4.0,2.0,Partly Furnished,Built-up,1499.0,Condominium
Mont Kiara,1830000.0,2.0,4.0,2.0,Partly Furnished,Built-up,1832.0,Condominium
Bukit Kiara,4988888.0,3.0,6.0,3.0,Partly Furnished,Land area,0.0,Terrace/Link House
KLCC,1680000.0,2.0,2.0,3.0,Fully Furnished,Built-up,1159.0,Condominium
KLCC,2210000.0,3.0,3.0,2.0,Fully Furnished,Built-up,1502.0,Condominium
KLCC,1420000.0,3.0,2.0,1.0,Fully Furnished,Built-up,976.0,Condominium
KLCC,3600000.0,2.0,5.0,2.0,Partly Furnished,Land area,3897.0,Serviced Residence
KLCC,1238000.0,3.0,2.0,1.0,Partly Furnished,Built-up,736.0,Condominium
KLCC,1139000.0,3.0,1.0,1.0,Partly Furnished,Built-up,751.0,Condominium
KLCC,2930000.0,3.0,2.0,2.0,Fully Furnished,Built-up,1114.0,Serviced Residence
Desa ParkCity,1580000.0,3.0,3.0,0.0,Partly Furnished,Built-up,1900.0,Terrace/Link House
Damansara Heights,1620000.0,1.0,2.0,1.0,Partly Furnished,Built-up,1194.0,Serviced Residence
Desa ParkCity,1300000.0,2.0,3.0,2.0,Partly Furnished,Built-up,1367.0,Condominium
