Location,Price,Rooms,Bathrooms,Car Parks,Furnishing,SizeType,SizeValue,Property Type Supergroup
72,428000.0,2.0,2.0,2.0,2,1,918.0,7
19,14800000.0,4.0,9.0,6.0,1,2,12000.0,1
45,28000000.0,3.0,16.0,10.0,1,2,26000.0,1
90,1800000.0,2.0,3.0,3.0,1,2,0.0,8
69,770000.0,3.0,3.0,2.0,1,1,1186.0,3
90,1650000.0,3.0,3.0,2.0,2,2,0.0,8
27,3600000.0,3.0,7.0,5.0,2,2,5000.0,1
27,6500000.0,3.0,6.0,4.0,2,2,8500.0,1
45,870000.0,2.0,3.0,0.0,0,1,1055.0,7
45,1200000.0,3.0,2.0,1.0,1,1,976.0,3
9,7600000.0,3.0,6.0,0.0,0,2,7750.0,1
68,720000.0,2.0,3.0,2.0,0,1,1577.0,3
16,1150000.0,3.0,3.0,4.0,1,1,1772.0,3
16,928000.0,3.0,3.0,2.0,1,1,1513.0,3
47,1680000.0,3.0,4.0,6.0,0,2,0.0,8
45,1350000.0,1.0,2.0,1.0,0,1,900.0,7
37,360000.0,3.0,2.0,1.0,1,1,1088.0,3
45,1000000.0,3.0,1.0,1.0,1,1,751.0,3
45,830000.0,3.0,1.0,0.0,0,1,473.0,7
23,868000.0,3.0,4.0,2.0,1,2,0.0,8
55,1865000.0,2.0,5.0,3.0,1,1,2535.0,3
45,1308000.0,1.0,1.0,1.0,0,1,753.0,3
